id,name,est_diameter_min,est_diameter_max,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude,hazardous
2162635,162635 (2000 SS164),1.198270801,2.679414966,13569.24922,54839744.08,Earth,FALSE,16.73,FALSE
2277475,277475 (2005 WK4),0.2658,0.594346868,73588.72666,61438126.52,Earth,FALSE,20,TRUE
2512244,512244 (2015 YE18),0.722029558,1.614507173,114258.6921,49798724.94,Earth,FALSE,17.83,FALSE
3596030,(2012 BV13),0.096506147,0.215794305,24764.30314,25434972.72,Earth,FALSE,22.2,FALSE
3667127,(2014 GE35),0.255008688,0.570216761,42737.73376,46275567,Earth,FALSE,20.09,TRUE
54138696,(2021 GY23),0.036354232,0.081290534,34297.58778,40585691.23,Earth,FALSE,24.32,FALSE
54189957,(2021 PY40),0.171614894,0.383742569,27529.47231,29069121.42,Earth,FALSE,20.95,FALSE
54230078,(2021 XD6),0.005327887,0.011913517,57544.47008,55115019.26,Earth,FALSE,28.49,FALSE
2088213,88213 (2001 AF2),0.350392641,0.783501764,56625.21012,69035980.04,Earth,FALSE,19.4,FALSE
3766065,(2016 YM),0.105816886,0.23661375,48425.84033,38355261.56,Earth,FALSE,22,FALSE
54049873,(2020 OT6),0.252670754,0.564988982,58430.6972,38337496.95,Earth,FALSE,20.11,TRUE
54099949,(2020 XW4),0.152951935,0.342010925,64393.92832,71983105.31,Earth,FALSE,21.2,FALSE
54104555,(2021 AW1),0.069912523,0.156329154,38018.61529,52093021.6,Earth,FALSE,22.9,FALSE
54235433,(2022 AM),0.006145468,0.013741685,24323.04614,24617585.59,Earth,FALSE,28.18,FALSE
2198752,198752 (2005 EA60),0.290104841,0.648694146,10402.00218,60789296.03,Earth,FALSE,19.81,FALSE
3069224,(2000 YT134),0.483676488,1.081533507,74576.93076,59880809.9,Earth,FALSE,18.7,FALSE
3739154,(2016 AF2),0.006991252,0.015632915,75486.09085,71387057.95,Earth,FALSE,27.9,FALSE
3795026,(2017 YU3),0.04411182,0.098637028,70770.59114,27717237.02,Earth,FALSE,23.9,FALSE
3797456,(2018 AN2),0.029144391,0.065168838,42111.04408,39421282.19,Earth,FALSE,24.8,FALSE
3825138,(2018 LC3),0.46190746,1.032856481,104810.0937,18832837.96,Earth,FALSE,18.8,FALSE
3835974,(2018 VK1),0.009784868,0.02187963,49452.24058,57667088.95,Earth,FALSE,27.17,FALSE
3842597,(2019 KN2),0.010105434,0.022596438,27462.37801,38913011.95,Earth,FALSE,27.1,FALSE
54053939,(2020 RD4),0.003051792,0.006824015,47644.44846,52948852.89,Earth,FALSE,29.7,FALSE
2506491,506491 (2003 UW29),0.201629919,0.450858206,115899.1805,15101017.14,Earth,FALSE,20.6,TRUE
3329370,(2006 GB1),0.050647146,0.113250461,33803.16656,70394867.73,Earth,FALSE,23.6,FALSE
3623582,(2013 AU27),0.4411182,0.986370281,69871.97731,58438716.67,Earth,FALSE,18.9,FALSE
3768024,(2017 CQ),0.175612319,0.392681082,71487.94083,21123317.71,Earth,FALSE,20.9,FALSE
3781344,(2017 RV),0.110803882,0.247765013,48655.30513,32797747.23,Earth,FALSE,21.9,TRUE
54076362,(2020 UF5),0.031956189,0.07145621,17906.49109,66979305.81,Earth,FALSE,24.6,FALSE
54105263,(2021 AZ4),0.136318556,0.304817558,109370.3762,68231700.54,Earth,FALSE,21.45,FALSE
54232321,(2022 AB),0.050647146,0.113250461,67866.92707,67973444.05,Earth,FALSE,23.6,FALSE
2007480,7480 Norwan (1994 PC),1.02933082,2.301653685,24889.1853,74035215.43,Earth,FALSE,17.06,FALSE
2020425,20425 (1998 VD35),0.22108281,0.494356193,40625.28895,14891803.16,Earth,FALSE,20.4,TRUE
2337345,337345 (2001 KO20),0.201629919,0.450858206,35852.70919,41530278.36,Earth,FALSE,20.6,FALSE
3608427,(2012 RO1),0.305179233,0.682401509,50429.07519,68493001.73,Earth,FALSE,19.7,FALSE
3654336,(2013 XS3),0.223128464,0.498930414,53877.16915,72103117.58,Earth,FALSE,20.38,FALSE
54016465,(2020 GF1),0.014606796,0.03266179,18985.19191,46329518.19,Earth,FALSE,26.3,FALSE
54235525,(2022 AP1),0.005656594,0.012648528,62986.28833,31121553.68,Earth,FALSE,28.36,FALSE
2002100,2100 Ra-Shalom (1978 RA),1.508533561,3.373183589,52325.45365,68178439.27,Earth,FALSE,16.23,FALSE
